cellline,Proteins,Ligands,P_L,Replicate,AUC_Mean,AUC_Median
HUCCT1,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.011457149,0.015972167
KKU055,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.004468431,0.005402982
KKKD068,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.003461834,0.004157366
KKU100,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.010309946,0.011972151
KKKD131,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.03199974,0.032930713
KKKD138,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.003216348,0.007033126
KKU156,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.017361282,0.022570618
KKU213,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.014467866,0.020207455
KKU214,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.020517119,0.023539016
RBE,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.003756451,0.00595032
SSP25,FoxO3a,Anisomycin,FoxO3a_Anisomycin,1,0.005488975,0.008093359
HUCCT1,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.038608052,0.044639754
KKU055,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.002081929,0.001839076
KKKD068,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.030770888,0.035388554
KKU100,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.010518756,0.011218894
KKKD131,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.03199974,0.032930713
KKKD138,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.03731593,0.042563815
KKU156,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.001635308,0.002883113
KKU213,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.017735497,0.020844397
KKU214,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.014563114,0.015653335
RBE,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.016926018,0.018189288
SSP25,FoxO3a,Anisomycin,FoxO3a_Anisomycin,2,0.022582843,0.02393537
HUCCT1,FoxO3a,EGF,FoxO3a_EGF,1,0.009032876,0.01228921
KKU055,FoxO3a,EGF,FoxO3a_EGF,1,0.000881721,0.001011761
KKKD068,FoxO3a,EGF,FoxO3a_EGF,1,0.00273504,0.003351421
KKU100,FoxO3a,EGF,FoxO3a_EGF,1,0.005840777,0.007136879
KKKD131,FoxO3a,EGF,FoxO3a_EGF,1,0.005827198,0.011665059
KKKD138,FoxO3a,EGF,FoxO3a_EGF,1,0.008008773,0.010582219
KKU156,FoxO3a,EGF,FoxO3a_EGF,1,0.008930538,0.011099083
KKU213,FoxO3a,EGF,FoxO3a_EGF,1,0.011116825,0.014031201
KKU214,FoxO3a,EGF,FoxO3a_EGF,1,0.008941478,0.010176729
RBE,FoxO3a,EGF,FoxO3a_EGF,1,0.008747528,0.010699664
SSP25,FoxO3a,EGF,FoxO3a_EGF,1,0.008358432,0.011401588
HUCCT1,FoxO3a,EGF,FoxO3a_EGF,2,0.029939307,0.034601051
KKU055,FoxO3a,EGF,FoxO3a_EGF,2,0.001515634,0.001269663
KKKD068,FoxO3a,EGF,FoxO3a_EGF,2,0.019224869,0.022610543
KKU100,FoxO3a,EGF,FoxO3a_EGF,2,0.020851034,0.023416399
KKKD131,FoxO3a,EGF,FoxO3a_EGF,2,0.053415198,0.06207907
KKKD138,FoxO3a,EGF,FoxO3a_EGF,2,0.040996252,0.046441496
KKU156,FoxO3a,EGF,FoxO3a_EGF,2,0.050985836,0.058829593
KKU213,FoxO3a,EGF,FoxO3a_EGF,2,0.035818202,0.038730803
KKU214,FoxO3a,EGF,FoxO3a_EGF,2,0.018848531,0.021015565
RBE,FoxO3a,EGF,FoxO3a_EGF,2,0.016573827,0.0182618
SSP25,FoxO3a,EGF,FoxO3a_EGF,2,0.045993324,0.055336771
HUCCT1,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.001214125,0.001070597
KKU055,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.00040995,0.000843452
KKKD068,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.00115194,0.00133082
KKU100,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.002857892,0.003303653
KKKD131,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.010422473,0.009378628
KKKD138,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.00189353,0.002926374
KKU156,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0,0
KKU213,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.001556548,0.001975225
KKU214,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.006521482,0.006777859
RBE,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.017053636,0.01887099
SSP25,FoxO3a,IFNgamma,FoxO3a_IFNgamma,1,0.001940643,0.002985094
HUCCT1,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.002202362,0.001893268
KKU055,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.000794811,0.000734629
KKKD068,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.001138859,0.001463508
KKU100,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.003820054,0.004116142
KKKD131,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.008350826,0.007331484
KKKD138,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.004690621,0.005264636
KKU156,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.004650968,0.003760938
KKU213,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.001556548,0.001975225
KKU214,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.006521482,0.006777859
RBE,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.017053636,0.01887099
SSP25,FoxO3a,IFNgamma,FoxO3a_IFNgamma,2,0.003007054,0.003965594
HUCCT1,FoxO3a,IGF1,FoxO3a_IGF1,1,0.008070917,0.010700096
KKU055,FoxO3a,IGF1,FoxO3a_IGF1,1,0.000152598,0.000118208
KKKD068,FoxO3a,IGF1,FoxO3a_IGF1,1,0.005085193,0.00615743
KKU100,FoxO3a,IGF1,FoxO3a_IGF1,1,0.006687642,0.007871706
KKKD131,FoxO3a,IGF1,FoxO3a_IGF1,1,0.015297095,0.020700147
KKKD138,FoxO3a,IGF1,FoxO3a_IGF1,1,0.011115655,0.013112995
KKU156,FoxO3a,IGF1,FoxO3a_IGF1,1,0.013495426,0.016345414
KKU213,FoxO3a,IGF1,FoxO3a_IGF1,1,0.011620205,0.014939207
KKU214,FoxO3a,IGF1,FoxO3a_IGF1,1,0.008912364,0.010278919
RBE,FoxO3a,IGF1,FoxO3a_IGF1,1,0.00838262,0.009868883
SSP25,FoxO3a,IGF1,FoxO3a_IGF1,1,0.009588842,0.011899022
HUCCT1,FoxO3a,IGF1,FoxO3a_IGF1,2,0.02688182,0.031719282
KKU055,FoxO3a,IGF1,FoxO3a_IGF1,2,0.000765193,0.000815624
KKKD068,FoxO3a,IGF1,FoxO3a_IGF1,2,0.02844012,0.033304514
KKU100,FoxO3a,IGF1,FoxO3a_IGF1,2,0.020111908,0.02237336
KKKD131,FoxO3a,IGF1,FoxO3a_IGF1,2,0.054911441,0.062438688
KKKD138,FoxO3a,IGF1,FoxO3a_IGF1,2,0.03431102,0.039040126
KKU156,FoxO3a,IGF1,FoxO3a_IGF1,2,0.060246256,0.067180744
KKU213,FoxO3a,IGF1,FoxO3a_IGF1,2,0.034636529,0.037338225
KKU214,FoxO3a,IGF1,FoxO3a_IGF1,2,0.020977203,0.023513967
RBE,FoxO3a,IGF1,FoxO3a_IGF1,2,0.026991812,0.027646975
SSP25,FoxO3a,IGF1,FoxO3a_IGF1,2,0.049811627,0.058987519
HUCCT1,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.008204677,0.008813524
KKU055,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.003964335,0.004824024
KKKD068,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.000553217,0.000988157
KKU100,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.008424586,0.009158555
KKKD131,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.011342351,0.01091775
KKKD138,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.006077679,0.00886802
KKU156,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.000656019,0.001180225
KKU213,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.00560717,0.006298501
KKU214,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.012953155,0.013276892
RBE,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.002742642,0.004801902
SSP25,FoxO3a,TNFalpha,FoxO3a_TNFalpha,1,0.005546129,0.007206576
HUCCT1,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.007814403,0.008668668
KKU055,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.001859817,0.001813764
KKKD068,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.002329551,0.002916552
KKU100,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.005636616,0.006145225
KKKD131,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.001134303,0.001418543
KKKD138,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.021671607,0.025398937
KKU156,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.005913247,0.010402019
KKU213,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.00560717,0.006298501
KKU214,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.012953155,0.013276892
RBE,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.011289106,0.013233375
SSP25,FoxO3a,TNFalpha,FoxO3a_TNFalpha,2,0.019516421,0.019007678
HUCCT1,pAKT,Anisomycin,pAKT_Anisomycin,1,0.015894123,0.017997967
KKU055,pAKT,Anisomycin,pAKT_Anisomycin,1,0.001166543,0.000616646
KKKD068,pAKT,Anisomycin,pAKT_Anisomycin,1,0.053362196,0.060119932
KKU100,pAKT,Anisomycin,pAKT_Anisomycin,1,0.010466696,0.01019415
KKKD131,pAKT,Anisomycin,pAKT_Anisomycin,1,0.010152138,0.006296339
KKKD138,pAKT,Anisomycin,pAKT_Anisomycin,1,0.031720159,0.035370248
KKU156,pAKT,Anisomycin,pAKT_Anisomycin,1,0.00057654,0.004339486
KKU213,pAKT,Anisomycin,pAKT_Anisomycin,1,0.011998968,0.01220104
KKU214,pAKT,Anisomycin,pAKT_Anisomycin,1,0.000326108,0.002149578
RBE,pAKT,Anisomycin,pAKT_Anisomycin,1,0.003026893,0.002243013
SSP25,pAKT,Anisomycin,pAKT_Anisomycin,1,0.065101212,0.075497439
HUCCT1,pAKT,Anisomycin,pAKT_Anisomycin,2,0.026238326,0.03179302
KKU055,pAKT,Anisomycin,pAKT_Anisomycin,2,0.000547645,0.000554628
KKKD068,pAKT,Anisomycin,pAKT_Anisomycin,2,0.023188989,0.026914534
KKU100,pAKT,Anisomycin,pAKT_Anisomycin,2,0.014534873,0.016649827
KKKD131,pAKT,Anisomycin,pAKT_Anisomycin,2,0.02446031,0.029106366
KKKD138,pAKT,Anisomycin,pAKT_Anisomycin,2,0.021639734,0.02533919
KKU156,pAKT,Anisomycin,pAKT_Anisomycin,2,0.013131996,0.01658723
KKU213,pAKT,Anisomycin,pAKT_Anisomycin,2,0.009481058,0.01211706
KKU214,pAKT,Anisomycin,pAKT_Anisomycin,2,0.007416608,0.008719174
RBE,pAKT,Anisomycin,pAKT_Anisomycin,2,0.005596102,0.006889845
SSP25,pAKT,Anisomycin,pAKT_Anisomycin,2,0.008411231,0.006490882
HUCCT1,pAKT,EGF,pAKT_EGF,1,0.035655111,0.039200884
KKU055,pAKT,EGF,pAKT_EGF,1,0.007525577,0.007633579
KKKD068,pAKT,EGF,pAKT_EGF,1,0.017523807,0.019785022
KKU100,pAKT,EGF,pAKT_EGF,1,0.119563583,0.111952648
KKKD131,pAKT,EGF,pAKT_EGF,1,0.094037161,0.094353143
KKKD138,pAKT,EGF,pAKT_EGF,1,0.065783435,0.070202621
KKU156,pAKT,EGF,pAKT_EGF,1,0.013517068,0.023604242
KKU213,pAKT,EGF,pAKT_EGF,1,0.019639891,0.022845007
KKU214,pAKT,EGF,pAKT_EGF,1,0.020866914,0.01983455
RBE,pAKT,EGF,pAKT_EGF,1,0.031745394,0.03092556
SSP25,pAKT,EGF,pAKT_EGF,1,0.061856469,0.073099422
HUCCT1,pAKT,EGF,pAKT_EGF,2,0.029106725,0.033422439
KKU055,pAKT,EGF,pAKT_EGF,2,0.037439117,0.036300952
KKKD068,pAKT,EGF,pAKT_EGF,2,0.016779761,0.020829698
KKU100,pAKT,EGF,pAKT_EGF,2,0.062926103,0.062478351
KKKD131,pAKT,EGF,pAKT_EGF,2,0.057925001,0.05904274
KKKD138,pAKT,EGF,pAKT_EGF,2,0.069008876,0.07323674
KKU156,pAKT,EGF,pAKT_EGF,2,0.031812437,0.034426021
KKU213,pAKT,EGF,pAKT_EGF,2,0.018586984,0.021760613
KKU214,pAKT,EGF,pAKT_EGF,2,0.017801463,0.019825007
RBE,pAKT,EGF,pAKT_EGF,2,0.000600125,0.0004205
SSP25,pAKT,EGF,pAKT_EGF,2,0.106501133,0.099686276
HUCCT1,pAKT,IFNgamma,pAKT_IFNgamma,1,0,7.86735E-06
KKU055,pAKT,IFNgamma,pAKT_IFNgamma,1,0.004122544,0.002012134
KKKD068,pAKT,IFNgamma,pAKT_IFNgamma,1,0.003929896,0.004920423
KKU100,pAKT,IFNgamma,pAKT_IFNgamma,1,0,0.000376629
KKKD131,pAKT,IFNgamma,pAKT_IFNgamma,1,0.000865532,0.000627649
KKKD138,pAKT,IFNgamma,pAKT_IFNgamma,1,0.000714942,0.002473076
KKU156,pAKT,IFNgamma,pAKT_IFNgamma,1,0,0.000528965
KKU213,pAKT,IFNgamma,pAKT_IFNgamma,1,0.003337238,0.00295467
KKU214,pAKT,IFNgamma,pAKT_IFNgamma,1,0,0
RBE,pAKT,IFNgamma,pAKT_IFNgamma,1,0.002539759,0.002543325
SSP25,pAKT,IFNgamma,pAKT_IFNgamma,1,0.017212422,0.019330311
HUCCT1,pAKT,IFNgamma,pAKT_IFNgamma,2,0.000929214,0.001341175
KKU055,pAKT,IFNgamma,pAKT_IFNgamma,2,0,0
KKKD068,pAKT,IFNgamma,pAKT_IFNgamma,2,0.012233207,0.014919799
KKU100,pAKT,IFNgamma,pAKT_IFNgamma,2,0.008097084,0.010168764
KKKD131,pAKT,IFNgamma,pAKT_IFNgamma,2,0.00820341,0.010224492
KKKD138,pAKT,IFNgamma,pAKT_IFNgamma,2,0.00258317,0.00335516
KKU156,pAKT,IFNgamma,pAKT_IFNgamma,2,0.001848531,0.002740847
KKU213,pAKT,IFNgamma,pAKT_IFNgamma,2,0.00092985,0.001225449
KKU214,pAKT,IFNgamma,pAKT_IFNgamma,2,0,0
RBE,pAKT,IFNgamma,pAKT_IFNgamma,2,0.002468544,0.003098558
SSP25,pAKT,IFNgamma,pAKT_IFNgamma,2,0.002487287,0.002593865
HUCCT1,pAKT,IGF1,pAKT_IGF1,1,0.072991601,0.072813161
KKU055,pAKT,IGF1,pAKT_IGF1,1,0.001631874,0.001631368
KKKD068,pAKT,IGF1,pAKT_IGF1,1,0.045970201,0.055682307
KKU100,pAKT,IGF1,pAKT_IGF1,1,0.174755208,0.175765609
KKKD131,pAKT,IGF1,pAKT_IGF1,1,0.197068473,0.20592546
KKKD138,pAKT,IGF1,pAKT_IGF1,1,0.07595146,0.082531681
KKU156,pAKT,IGF1,pAKT_IGF1,1,0.063448967,0.067423789
KKU213,pAKT,IGF1,pAKT_IGF1,1,0.03105554,0.035370816
KKU214,pAKT,IGF1,pAKT_IGF1,1,0.05861837,0.060382327
RBE,pAKT,IGF1,pAKT_IGF1,1,0.053294655,0.060767669
SSP25,pAKT,IGF1,pAKT_IGF1,1,0.011404657,0.012246032
HUCCT1,pAKT,IGF1,pAKT_IGF1,2,0,0
KKU055,pAKT,IGF1,pAKT_IGF1,2,0.001631874,0.001631368
KKKD068,pAKT,IGF1,pAKT_IGF1,2,0.021294923,0.023814947
KKU100,pAKT,IGF1,pAKT_IGF1,2,0.176714187,0.175260709
KKKD131,pAKT,IGF1,pAKT_IGF1,2,0.214361363,0.215004693
KKKD138,pAKT,IGF1,pAKT_IGF1,2,0.018607536,0.020333509
KKU156,pAKT,IGF1,pAKT_IGF1,2,0.108151294,0.111688188
KKU213,pAKT,IGF1,pAKT_IGF1,2,0.018451501,0.023552675
KKU214,pAKT,IGF1,pAKT_IGF1,2,0.01384833,0.014577701
RBE,pAKT,IGF1,pAKT_IGF1,2,0.023644245,0.027363097
SSP25,pAKT,IGF1,pAKT_IGF1,2,0.043510427,0.054125195
HUCCT1,pAKT,TNFalpha,pAKT_TNFalpha,1,0.004930669,0.005832053
KKU055,pAKT,TNFalpha,pAKT_TNFalpha,1,0.003922427,0.001456911
KKKD068,pAKT,TNFalpha,pAKT_TNFalpha,1,0.008548554,0.009562071
KKU100,pAKT,TNFalpha,pAKT_TNFalpha,1,0.003187437,0.003438598
KKKD131,pAKT,TNFalpha,pAKT_TNFalpha,1,0.00275269,0.001224142
KKKD138,pAKT,TNFalpha,pAKT_TNFalpha,1,0.007826337,0.00884611
KKU156,pAKT,TNFalpha,pAKT_TNFalpha,1,0.003199256,0.002021684
KKU213,pAKT,TNFalpha,pAKT_TNFalpha,1,0.006713476,0.006518184
KKU214,pAKT,TNFalpha,pAKT_TNFalpha,1,0.000699654,0.00119325
RBE,pAKT,TNFalpha,pAKT_TNFalpha,1,0.003727618,0.002415361
SSP25,pAKT,TNFalpha,pAKT_TNFalpha,1,0.074071589,0.085866677
HUCCT1,pAKT,TNFalpha,pAKT_TNFalpha,2,0.012057368,0.014566074
KKU055,pAKT,TNFalpha,pAKT_TNFalpha,2,0,0
KKKD068,pAKT,TNFalpha,pAKT_TNFalpha,2,0.013400583,0.016124306
KKU100,pAKT,TNFalpha,pAKT_TNFalpha,2,0.010683313,0.012875358
KKKD131,pAKT,TNFalpha,pAKT_TNFalpha,2,0.005852157,0.007176989
KKKD138,pAKT,TNFalpha,pAKT_TNFalpha,2,0.008718419,0.010451455
KKU156,pAKT,TNFalpha,pAKT_TNFalpha,2,0.002115193,0.002643729
KKU213,pAKT,TNFalpha,pAKT_TNFalpha,2,0.00259522,0.003436629
KKU214,pAKT,TNFalpha,pAKT_TNFalpha,2,0.000347226,0.0004515
RBE,pAKT,TNFalpha,pAKT_TNFalpha,2,0.005517526,0.006805421
SSP25,pAKT,TNFalpha,pAKT_TNFalpha,2,0.015319538,0.011805142
HUCCT1,pERK,Anisomycin,pERK_Anisomycin,1,0.035087986,0.036813682
KKU055,pERK,Anisomycin,pERK_Anisomycin,1,0.021157858,0.021060351
KKKD068,pERK,Anisomycin,pERK_Anisomycin,1,0.049985603,0.06125088
KKU100,pERK,Anisomycin,pERK_Anisomycin,1,0.027940176,0.031563257
KKKD131,pERK,Anisomycin,pERK_Anisomycin,1,0.020798231,0.026094851
KKKD138,pERK,Anisomycin,pERK_Anisomycin,1,0.051046074,0.057904748
KKU156,pERK,Anisomycin,pERK_Anisomycin,1,0.058121348,0.075790597
KKU213,pERK,Anisomycin,pERK_Anisomycin,1,0.064883594,0.075655237
KKU214,pERK,Anisomycin,pERK_Anisomycin,1,0.060925135,0.06804604
RBE,pERK,Anisomycin,pERK_Anisomycin,1,0.024355002,0.031806814
SSP25,pERK,Anisomycin,pERK_Anisomycin,1,0,0
HUCCT1,pERK,Anisomycin,pERK_Anisomycin,2,0.022704195,0.030003358
KKU055,pERK,Anisomycin,pERK_Anisomycin,2,5.81236E-05,0
KKKD068,pERK,Anisomycin,pERK_Anisomycin,2,0.019040779,0.032314124
KKU100,pERK,Anisomycin,pERK_Anisomycin,2,0.014011317,0.018440993
KKKD131,pERK,Anisomycin,pERK_Anisomycin,2,0.127861333,0.14689117
KKKD138,pERK,Anisomycin,pERK_Anisomycin,2,0.021230032,0.029541781
KKU156,pERK,Anisomycin,pERK_Anisomycin,2,0.136687083,0.163663622
KKU213,pERK,Anisomycin,pERK_Anisomycin,2,0.033234093,0.040114824
KKU214,pERK,Anisomycin,pERK_Anisomycin,2,0.047463677,0.053484878
RBE,pERK,Anisomycin,pERK_Anisomycin,2,0.078047147,0.085993808
SSP25,pERK,Anisomycin,pERK_Anisomycin,2,0.024937693,0.02811974
HUCCT1,pERK,EGF,pERK_EGF,1,0.002637924,0.000337944
KKU055,pERK,EGF,pERK_EGF,1,0.039625319,0.044929555
KKKD068,pERK,EGF,pERK_EGF,1,0.206250597,0.215054478
KKU100,pERK,EGF,pERK_EGF,1,0.030910309,0.03871251
KKKD131,pERK,EGF,pERK_EGF,1,0.059897785,0.067827648
KKKD138,pERK,EGF,pERK_EGF,1,0.204744847,0.224173987
KKU156,pERK,EGF,pERK_EGF,1,0.122878682,0.163633267
KKU213,pERK,EGF,pERK_EGF,1,0,0
KKU214,pERK,EGF,pERK_EGF,1,0.177095532,0.176488771
RBE,pERK,EGF,pERK_EGF,1,0,0
SSP25,pERK,EGF,pERK_EGF,1,0.048147979,0.0497785
HUCCT1,pERK,EGF,pERK_EGF,2,0.000610463,0.00045209
KKU055,pERK,EGF,pERK_EGF,2,0.002295583,0.002230297
KKKD068,pERK,EGF,pERK_EGF,2,0.235941082,0.245508999
KKU100,pERK,EGF,pERK_EGF,2,0.123564872,0.126010667
KKKD131,pERK,EGF,pERK_EGF,2,0.055381769,0.065549386
KKKD138,pERK,EGF,pERK_EGF,2,0.241548753,0.245284998
KKU156,pERK,EGF,pERK_EGF,2,0.002281817,0.002111892
KKU213,pERK,EGF,pERK_EGF,2,0,0
KKU214,pERK,EGF,pERK_EGF,2,0.042224401,0.053868767
RBE,pERK,EGF,pERK_EGF,2,0.178495685,0.185473291
SSP25,pERK,EGF,pERK_EGF,2,0.007023662,0.008052
HUCCT1,pERK,IFNgamma,pERK_IFNgamma,1,0.005265425,0.007556193
KKU055,pERK,IFNgamma,pERK_IFNgamma,1,0,0
KKKD068,pERK,IFNgamma,pERK_IFNgamma,1,0.002550614,0.004232853
KKU100,pERK,IFNgamma,pERK_IFNgamma,1,0,0
KKKD131,pERK,IFNgamma,pERK_IFNgamma,1,0.001807376,0.001899656
KKKD138,pERK,IFNgamma,pERK_IFNgamma,1,0.00325639,0.003453266
KKU156,pERK,IFNgamma,pERK_IFNgamma,1,0,0
KKU213,pERK,IFNgamma,pERK_IFNgamma,1,0.001973432,0.002331746
KKU214,pERK,IFNgamma,pERK_IFNgamma,1,0,0
RBE,pERK,IFNgamma,pERK_IFNgamma,1,0.001240761,0.000913221
SSP25,pERK,IFNgamma,pERK_IFNgamma,1,0,0
HUCCT1,pERK,IFNgamma,pERK_IFNgamma,2,0.015579748,0.016321124
KKU055,pERK,IFNgamma,pERK_IFNgamma,2,0,0
KKKD068,pERK,IFNgamma,pERK_IFNgamma,2,0.011093072,0.014940495
KKU100,pERK,IFNgamma,pERK_IFNgamma,2,0,0
KKKD131,pERK,IFNgamma,pERK_IFNgamma,2,0.001227318,0.001839528
