cellline,Proteins,Ligands,P_L,Replicate,AUC_Mean,AUC_Median
KKKD131,pSTAT1,EGF,pSTAT1_EGF,2,0.076120997,0.086987826
KKKD138,pSTAT1,EGF,pSTAT1_EGF,2,0.009732796,0.011341139
KKU156,pSTAT1,EGF,pSTAT1_EGF,2,0.034376824,0.045373504
KKU213,pSTAT1,EGF,pSTAT1_EGF,2,0.158735375,0.178659562
KKU214,pSTAT1,EGF,pSTAT1_EGF,2,0.063581026,0.07969785
RBE,pSTAT1,EGF,pSTAT1_EGF,2,0.018002662,0.023925746
SSP25,pSTAT1,EGF,pSTAT1_EGF,2,0.075565174,0.063273934
HUCCT1,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.113597981,0.119222555
KKU055,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.233917395,0.237911164
KKKD068,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.35131027,0.355086571
KKU100,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.282248782,0.335265656
KKKD131,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.444889258,0.477269327
KKKD138,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.461268245,0.494430261
KKU156,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.148608881,0.154791037
KKU213,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.27455318,0.274170437
KKU214,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.29215964,0.31221688
RBE,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.196277901,0.216001257
SSP25,pSTAT1,IFNgamma,pSTAT1_IFNgamma,1,0.310481241,0.32895075
HUCCT1,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.048096225,0.049885739
KKU055,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.270660155,0.27210824
KKKD068,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.038623805,0.039867655
KKU100,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.039235426,0.041529679
KKKD131,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.214233776,0.216943322
KKKD138,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.215656747,0.218273361
KKU156,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.139538663,0.151683708
KKU213,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.314406483,0.319915139
KKU214,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.28776309,0.301728773
RBE,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.111783785,0.104786059
SSP25,pSTAT1,IFNgamma,pSTAT1_IFNgamma,2,0.187143369,0.192795318
HUCCT1,pSTAT1,IGF1,pSTAT1_IGF1,1,0.01455092,0.00649451
KKU055,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0.001831481
KKKD068,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0
KKU100,pSTAT1,IGF1,pSTAT1_IGF1,1,0.017877393,0.014542734
KKKD131,pSTAT1,IGF1,pSTAT1_IGF1,1,0.012753264,0.000562392
KKKD138,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0
KKU156,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0
KKU213,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0
KKU214,pSTAT1,IGF1,pSTAT1_IGF1,1,0.026522569,0.011601496
RBE,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0
SSP25,pSTAT1,IGF1,pSTAT1_IGF1,1,0,0
HUCCT1,pSTAT1,IGF1,pSTAT1_IGF1,2,0.011721362,0.01860033
KKU055,pSTAT1,IGF1,pSTAT1_IGF1,2,0.010882404,0.012645419
KKKD068,pSTAT1,IGF1,pSTAT1_IGF1,2,0.056067842,0.06705517
KKU100,pSTAT1,IGF1,pSTAT1_IGF1,2,0.042875221,0.05336971
KKKD131,pSTAT1,IGF1,pSTAT1_IGF1,2,0.006189704,0.007726473
KKKD138,pSTAT1,IGF1,pSTAT1_IGF1,2,0.001587036,0.00208748
KKU156,pSTAT1,IGF1,pSTAT1_IGF1,2,0.001412966,0.001830875
KKU213,pSTAT1,IGF1,pSTAT1_IGF1,2,0,3.06128E-05
KKU214,pSTAT1,IGF1,pSTAT1_IGF1,2,0,0
RBE,pSTAT1,IGF1,pSTAT1_IGF1,2,0.056884717,0.06639038
SSP25,pSTAT1,IGF1,pSTAT1_IGF1,2,0,0
HUCCT1,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.004656528,0.004258373
KKU055,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.001758163,0.002066644
KKKD068,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.012706864,3.45399E-05
KKU100,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.005561062,0.004206256
KKKD131,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.024773179,0.002233036
KKKD138,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.024279409,0.003324734
KKU156,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0,0
KKU213,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.007663497,0.007341109
KKU214,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.001376606,0.000514994
RBE,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.000855016,0.003416561
SSP25,pSTAT1,TNFalpha,pSTAT1_TNFalpha,1,0.009874311,0.009758732
HUCCT1,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.038867951,0.037580283
KKU055,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.003473784,0.003685081
KKKD068,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.00318709,0.003552895
KKU100,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.033050133,0.030570304
KKKD131,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.0147668,0.015355706
KKKD138,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.014787496,0.015302625
KKU156,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.000129884,0.0003585
KKU213,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.049529497,0.049365755
KKU214,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.004363329,0.004475565
RBE,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.066797368,0.066013665
SSP25,pSTAT1,TNFalpha,pSTAT1_TNFalpha,2,0.009874311,0.009758732
HUCCT1,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0,0.002054806
KKU055,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0.033109042,0.008163703
KKKD068,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0,0
KKU100,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0.015035095,0.001324175
KKKD131,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0,0
KKKD138,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0.008979893,0
KKU156,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0,0
KKU213,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0.009981845,0.0039095
KKU214,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0.005889259,0.005229158
RBE,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0.026925776,0.003657625
SSP25,pSTAT3,Anisomycin,pSTAT3_Anisomycin,1,0,0
HUCCT1,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.019155967,0.022774511
KKU055,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.011852511,0.014074626
KKKD068,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.009445032,0.010703764
KKU100,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.00084119,0.000876322
KKKD131,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.017289344,0.021324203
KKKD138,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0,0
KKU156,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.001004689,0.00100275
KKU213,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.009073566,0.01033625
KKU214,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.005083801,0.006312125
RBE,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0.001489357,0.001486875
SSP25,pSTAT3,Anisomycin,pSTAT3_Anisomycin,2,0,0
HUCCT1,pSTAT3,EGF,pSTAT3_EGF,1,0.019634287,0.018726618
KKU055,pSTAT3,EGF,pSTAT3_EGF,1,0.007527498,0.008527628
KKKD068,pSTAT3,EGF,pSTAT3_EGF,1,0.000892462,0
KKU100,pSTAT3,EGF,pSTAT3_EGF,1,0.07974798,0.057342862
KKKD131,pSTAT3,EGF,pSTAT3_EGF,1,0,0.0022075
KKKD138,pSTAT3,EGF,pSTAT3_EGF,1,0.009455798,0.00130925
KKU156,pSTAT3,EGF,pSTAT3_EGF,1,0.000418862,0.00029825
KKU213,pSTAT3,EGF,pSTAT3_EGF,1,0.038265235,0.016641647
KKU214,pSTAT3,EGF,pSTAT3_EGF,1,0.005025824,0.003119375
RBE,pSTAT3,EGF,pSTAT3_EGF,1,0.014589464,0.003845671
SSP25,pSTAT3,EGF,pSTAT3_EGF,1,0,0
HUCCT1,pSTAT3,EGF,pSTAT3_EGF,2,0.002896429,0.004532803
KKU055,pSTAT3,EGF,pSTAT3_EGF,2,0.008653807,0.011807566
KKKD068,pSTAT3,EGF,pSTAT3_EGF,2,0.025999022,0.030456704
KKU100,pSTAT3,EGF,pSTAT3_EGF,2,0.025489242,0.029921464
KKKD131,pSTAT3,EGF,pSTAT3_EGF,2,0.012172073,0.015204697
KKKD138,pSTAT3,EGF,pSTAT3_EGF,2,0,0
KKU156,pSTAT3,EGF,pSTAT3_EGF,2,0.004097201,0.004360173
KKU213,pSTAT3,EGF,pSTAT3_EGF,2,0.011302418,0.01229225
KKU214,pSTAT3,EGF,pSTAT3_EGF,2,0.018019235,0.0205065
RBE,pSTAT3,EGF,pSTAT3_EGF,2,0.002665862,0.002830375
SSP25,pSTAT3,EGF,pSTAT3_EGF,2,0,0
HUCCT1,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.000946387,0.001669676
KKU055,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.002597774,0.002873458
KKKD068,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.013481292,0.015370671
KKU100,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.006260014,0.006971075
KKKD131,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.008309727,0.010601561
KKKD138,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.008165399,0.010506879
KKU156,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.001439714,0.001613988
KKU213,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.000127169,0.000150356
KKU214,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.00144091,0.00202027
RBE,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.015442179,0.015684572
SSP25,pSTAT3,IFNgamma,pSTAT3_IFNgamma,1,0.006494506,0.007744604
HUCCT1,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.00749663,0.008542373
KKU055,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.002597774,0.002873458
KKKD068,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.010503378,0.012815434
KKU100,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.006163921,0.007174038
KKKD131,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.011042174,0.012879505
KKKD138,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.011207667,0.013054326
KKU156,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.009282082,0.011275352
KKU213,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.0070446,0.008527173
KKU214,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.004013702,0.004788123
RBE,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0,0
SSP25,pSTAT3,IFNgamma,pSTAT3_IFNgamma,2,0.014051952,0.016225906
HUCCT1,pSTAT3,IGF1,pSTAT3_IGF1,1,0.001331873,0.007475501
KKU055,pSTAT3,IGF1,pSTAT3_IGF1,1,0.005504087,0.006712359
KKKD068,pSTAT3,IGF1,pSTAT3_IGF1,1,0,0
KKU100,pSTAT3,IGF1,pSTAT3_IGF1,1,0.009962351,0.008078854
KKKD131,pSTAT3,IGF1,pSTAT3_IGF1,1,0,0.002177571
KKKD138,pSTAT3,IGF1,pSTAT3_IGF1,1,0.001264553,0
KKU156,pSTAT3,IGF1,pSTAT3_IGF1,1,0.002528971,0.0023415
KKU213,pSTAT3,IGF1,pSTAT3_IGF1,1,0,0
KKU214,pSTAT3,IGF1,pSTAT3_IGF1,1,0,0
RBE,pSTAT3,IGF1,pSTAT3_IGF1,1,0.007567694,0.00236775
SSP25,pSTAT3,IGF1,pSTAT3_IGF1,1,0,0
HUCCT1,pSTAT3,IGF1,pSTAT3_IGF1,2,0.00430277,0.005344898
KKU055,pSTAT3,IGF1,pSTAT3_IGF1,2,0.009994087,0.014025051
KKKD068,pSTAT3,IGF1,pSTAT3_IGF1,2,0.017375149,0.017309241
KKU100,pSTAT3,IGF1,pSTAT3_IGF1,2,0.009930985,0.011384797
KKKD131,pSTAT3,IGF1,pSTAT3_IGF1,2,0,0
KKKD138,pSTAT3,IGF1,pSTAT3_IGF1,2,0.001809658,0.001760526
KKU156,pSTAT3,IGF1,pSTAT3_IGF1,2,0.001435636,0.00151675
KKU213,pSTAT3,IGF1,pSTAT3_IGF1,2,0.000845084,0.00083375
KKU214,pSTAT3,IGF1,pSTAT3_IGF1,2,0,0
RBE,pSTAT3,IGF1,pSTAT3_IGF1,2,0.04327299,0.05068288
SSP25,pSTAT3,IGF1,pSTAT3_IGF1,2,0,0
HUCCT1,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.006770257,0.007254154
KKU055,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.000711633,0.000907542
KKKD068,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.001739065,0.001803734
KKU100,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.004819713,0.00519219
KKKD131,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0,0
KKKD138,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0,0
KKU156,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.000522495,0.000683
KKU213,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.00410841,0.004708805
KKU214,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.000762089,0.00097825
RBE,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,0.000863911,0.0009745
SSP25,pSTAT3,TNFalpha,pSTAT3_TNFalpha,1,8.86884E-05,0.00016825
HUCCT1,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.000232808,0.000142306
KKU055,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,2.19895E-05,0
KKKD068,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.005320886,0.006275894
KKU100,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.001686501,0.002816444
KKKD131,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.007833905,0.008809578
KKKD138,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.006909455,0.007878736
KKU156,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.000402147,0.00045625
KKU213,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.000786827,0.001032577
KKU214,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.000387723,0.0004175
RBE,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.000107685,0.000346
SSP25,pSTAT3,TNFalpha,pSTAT3_TNFalpha,2,0.001892049,0.00201725
HUCCT1,RelA,Anisomycin,RelA_Anisomycin,1,0,0
KKU055,RelA,Anisomycin,RelA_Anisomycin,1,0,0
KKKD068,RelA,Anisomycin,RelA_Anisomycin,1,0,0
KKU100,RelA,Anisomycin,RelA_Anisomycin,1,0,0.003249861
KKKD131,RelA,Anisomycin,RelA_Anisomycin,1,0.009676888,0.00954996
KKKD138,RelA,Anisomycin,RelA_Anisomycin,1,0.007075643,0.01668278
KKU156,RelA,Anisomycin,RelA_Anisomycin,1,0,0
KKU213,RelA,Anisomycin,RelA_Anisomycin,1,0.016802816,0.019491179
KKU214,RelA,Anisomycin,RelA_Anisomycin,1,0,0
RBE,RelA,Anisomycin,RelA_Anisomycin,1,0,0
SSP25,RelA,Anisomycin,RelA_Anisomycin,1,0.003155569,0.000418587
HUCCT1,RelA,Anisomycin,RelA_Anisomycin,2,0,0
KKU055,RelA,Anisomycin,RelA_Anisomycin,2,0,0
KKKD068,RelA,Anisomycin,RelA_Anisomycin,2,0.025774111,0.018890444
KKU100,RelA,Anisomycin,RelA_Anisomycin,2,0.090508762,0.090814272
KKKD131,RelA,Anisomycin,RelA_Anisomycin,2,0.047492509,0.027827512
KKKD138,RelA,Anisomycin,RelA_Anisomycin,2,0.057541648,0.061134915
KKU156,RelA,Anisomycin,RelA_Anisomycin,2,0,0
KKU213,RelA,Anisomycin,RelA_Anisomycin,2,0.227564349,0.217586554
KKU214,RelA,Anisomycin,RelA_Anisomycin,2,0,0
RBE,RelA,Anisomycin,RelA_Anisomycin,2,0.045044769,0.033252762
SSP25,RelA,Anisomycin,RelA_Anisomycin,2,0.013684415,0.013360396
HUCCT1,RelA,EGF,RelA_EGF,1,0,0
KKU055,RelA,EGF,RelA_EGF,1,0.005572389,0.003978733
KKKD068,RelA,EGF,RelA_EGF,1,0.012212078,0.001680744
KKU100,RelA,EGF,RelA_EGF,1,0.019341223,0.022559047
KKKD131,RelA,EGF,RelA_EGF,1,0,0
KKKD138,RelA,EGF,RelA_EGF,1,0,0.001828525
KKU156,RelA,EGF,RelA_EGF,1,0.023871251,0.019444571
KKU213,RelA,EGF,RelA_EGF,1,0.000221894,0
KKU214,RelA,EGF,RelA_EGF,1,0.005099815,0.004486109
RBE,RelA,EGF,RelA_EGF,1,0,0
SSP25,RelA,EGF,RelA_EGF,1,0.074327152,0.050808462
HUCCT1,RelA,EGF,RelA_EGF,2,0,0.00027509
KKU055,RelA,EGF,RelA_EGF,2,0.140647281,0.135348606
KKKD068,RelA,EGF,RelA_EGF,2,0.001206674,0.001683526
KKU100,RelA,EGF,RelA_EGF,2,0.019341223,0.022559047
KKKD131,RelA,EGF,RelA_EGF,2,0.01324873,0.023359282
KKKD138,RelA,EGF,RelA_EGF,2,0.020051562,0.020465105
KKU156,RelA,EGF,RelA_EGF,2,0,0
KKU213,RelA,EGF,RelA_EGF,2,0.002308936,0.002272882
KKU214,RelA,EGF,RelA_EGF,2,0,0
RBE,RelA,EGF,RelA_EGF,2,0.003372787,0.004932197
SSP25,RelA,EGF,RelA_EGF,2,0.098597049,0.102590065
HUCCT1,RelA,IFNgamma,RelA_IFNgamma,1,0.000160655,0
KKU055,RelA,IFNgamma,RelA_IFNgamma,1,0.00133368,0.0020888
KKKD068,RelA,IFNgamma,RelA_IFNgamma,1,0.00749536,0.007472766
KKU100,RelA,IFNgamma,RelA_IFNgamma,1,0.005036767,0.004624627
KKKD131,RelA,IFNgamma,RelA_IFNgamma,1,0,0
KKKD138,RelA,IFNgamma,RelA_IFNgamma,1,0,0
KKU156,RelA,IFNgamma,RelA_IFNgamma,1,0,0
KKU213,RelA,IFNgamma,RelA_IFNgamma,1,0.008166809,0.005214875
KKU214,RelA,IFNgamma,RelA_IFNgamma,1,0,0
RBE,RelA,IFNgamma,RelA_IFNgamma,1,0.004545188,0.000350273
SSP25,RelA,IFNgamma,RelA_IFNgamma,1,0.002920127,0.000371025
HUCCT1,RelA,IFNgamma,RelA_IFNgamma,2,0.000160655,0
KKU055,RelA,IFNgamma,RelA_IFNgamma,2,0.006599748,0
KKKD068,RelA,IFNgamma,RelA_IFNgamma,2,0.000155328,0.000155328
KKU100,RelA,IFNgamma,RelA_IFNgamma,2,0.005529254,0.004986071
KKKD131,RelA,IFNgamma,RelA_IFNgamma,2,0.042421359,0.039333794
KKKD138,RelA,IFNgamma,RelA_IFNgamma,2,0.052086738,0.125330828
KKU156,RelA,IFNgamma,RelA_IFNgamma,2,0.038738969,0.041061537
KKU213,RelA,IFNgamma,RelA_IFNgamma,2,0.002197454,0.002093965
KKU214,RelA,IFNgamma,RelA_IFNgamma,2,0.085059278,0.087643514
RBE,RelA,IFNgamma,RelA_IFNgamma,2,0.011060955,0.011904402
SSP25,RelA,IFNgamma,RelA_IFNgamma,2,0.007218868,0.006732401
HUCCT1,RelA,IGF1,RelA_IGF1,1,0,0
KKU055,RelA,IGF1,RelA_IGF1,1,0.00836041,0.008075179
KKKD068,RelA,IGF1,RelA_IGF1,1,0.092298945,0.078930796
KKU100,RelA,IGF1,RelA_IGF1,1,0.037782986,0.035334486
KKKD131,RelA,IGF1,RelA_IGF1,1,0.009733221,0.008785425
KKKD138,RelA,IGF1,RelA_IGF1,1,0,0
KKU156,RelA,IGF1,RelA_IGF1,1,0.012798031,0.005121004
KKU213,RelA,IGF1,RelA_IGF1,1,0.042312761,0.043273644
KKU214,RelA,IGF1,RelA_IGF1,1,0.013016678,0.014280979
RBE,RelA,IGF1,RelA_IGF1,1,0,0
SSP25,RelA,IGF1,RelA_IGF1,1,0.519794251,0.489114657
HUCCT1,RelA,IGF1,RelA_IGF1,2,0,0
KKU055,RelA,IGF1,RelA_IGF1,2,0.207942026,0.198879348
KKKD068,RelA,IGF1,RelA_IGF1,2,0.003961435,0.005976527
KKU100,RelA,IGF1,RelA_IGF1,2,0.130765285,0.124395382
KKKD131,RelA,IGF1,RelA_IGF1,2,0.014331833,0.016763021
KKKD138,RelA,IGF1,RelA_IGF1,2,0.020268173,0.02148045
KKU156,RelA,IGF1,RelA_IGF1,2,0.023516947,0.023260047
KKU213,RelA,IGF1,RelA_IGF1,2,0.004199948,0.001441213
KKU214,RelA,IGF1,RelA_IGF1,2,0.00245034,0.006753965
RBE,RelA,IGF1,RelA_IGF1,2,0.081868359,0.091492096
SSP25,RelA,IGF1,RelA_IGF1,2,0.138531989,0.137411921
HUCCT1,RelA,TNFalpha,RelA_TNFalpha,1,0.131915308,0.133062942
KKU055,RelA,TNFalpha,RelA_TNFalpha,1,0.073185411,0.082010659
KKKD068,RelA,TNFalpha,RelA_TNFalpha,1,0.058452179,0.063666492
KKU100,RelA,TNFalpha,RelA_TNFalpha,1,0.17439333,0.187608326
KKKD131,RelA,TNFalpha,RelA_TNFalpha,1,0.05748524,0.064294853
KKKD138,RelA,TNFalpha,RelA_TNFalpha,1,0.142720316,0.15748438
KKU156,RelA,TNFalpha,RelA_TNFalpha,1,0.101097411,0.101744443
KKU213,RelA,TNFalpha,RelA_TNFalpha,1,0.101306972,0.109583174
KKU214,RelA,TNFalpha,RelA_TNFalpha,1,0.085425889,0.093355017
RBE,RelA,TNFalpha,RelA_TNFalpha,1,0.149259513,0.156981598
SSP25,RelA,TNFalpha,RelA_TNFalpha,1,0.119372526,0.125973782
HUCCT1,RelA,TNFalpha,RelA_TNFalpha,2,0.268719044,0.265329143
KKU055,RelA,TNFalpha,RelA_TNFalpha,2,0.038025749,0.042948435
KKKD068,RelA,TNFalpha,RelA_TNFalpha,2,0.033291862,0.039570993
KKU100,RelA,TNFalpha,RelA_TNFalpha,2,0.135544098,0.153482534
KKKD131,RelA,TNFalpha,RelA_TNFalpha,2,0.03294659,0.042894455
KKKD138,RelA,TNFalpha,RelA_TNFalpha,2,0.022712264,0.030722257
KKU156,RelA,TNFalpha,RelA_TNFalpha,2,0.201488502,0.2019745
KKU213,RelA,TNFalpha,RelA_TNFalpha,2,0.036449277,0.042473342
KKU214,RelA,TNFalpha,RelA_TNFalpha,2,0.068290828,0.078338935
RBE,RelA,TNFalpha,RelA_TNFalpha,2,0.064321779,0.078558533
SSP25,RelA,TNFalpha,RelA_TNFalpha,2,0.093772213,0.112122313
